1OQE_L	1OQE_L
1OQE_L	1OQE_P
1OQE_L	1OQE_K
1OQE_L	1OQE_R
1OQE_L	1OQE_Q
1OQE_L	1OQE_M
1OQE_L	1OQE_O
3G3A_A	3G3A_A
1WR6_A	1WR6_A
1WR6_A	1YD8_H
2G9H_C	2G9H_C
2G9H_C	3S5L_C
2G9H_C	2OJE_C
4NSO_B	4NSO_B
7SBG_C	7SBG_C
3CJS_B	3CJS_B
4ZRK_B	4ZRK_B
3A1U_A	3A1U_A
5D71_A	5D71_A
3JSY_B	3JSY_B
2IT2_B	2IT2_B
7A5S_A	7A5S_A
2OX7_B	2OX7_B
3LAE_A	3LAE_A
2INC_A	2INC_A
3SJA_I	3SJA_I
2JBY_A	2JBY_A
5IP4_E	5IP4_E
4K1R_B	4K1R_B
4K1R_B	1S1Q_B
4K1R_B	2AYO_B
4K1R_B	5E6J_C
4K1R_B	4XKH_C
4K1R_B	2HTH_A
4K1R_B	2D3G_A
4K1R_B	4M0W_B
4K1R_B	2G45_A
4K1R_B	1XD3_B
4K1R_B	2QHO_A
4K1R_B	6A6I_B
4K1R_B	3WWQ_A
4K1R_B	4Q5E_B
4K1R_B	5E6J_B
4K1R_B	2D3G_B
4K1R_B	1AAR_A
4K1R_B	1YD8_G
4K1R_B	3WWQ_C
4K1R_B	2WX0_G
4K1R_B	2XBB_B
4K1R_B	4XKH_A
4K1R_B	2C7N_B
4K1R_B	3VUX_A
4K1R_B	1WR6_G
4K1R_B	1WRD_B
2VG3_C	2VG3_C
2PBK_B	2PBK_B
4XVP_B	4XVP_B
5WUJ_B	5WUJ_B
5XQZ_A	5XQZ_A
3C5T_B	3C5T_B
3UZ0_B	3UZ0_B
2Q7X_A	2Q7X_A
2BLN_B	2BLN_B
1OAO_C	1OAO_C
2HRK_B	2HRK_B
3BH6_B	3BH6_B
5NIR_A	5NIR_A
1WUI_S	1WUI_S
2ED6_A	2ED6_A
5X1E_D	5X1E_D
4UU9_B	4UU9_B
4UU9_B	5NH3_L
4UU9_B	2YBR_B
4UU9_B	5YOY_F
4UU9_B	5YOY_E
4UU9_B	2AEQ_L
4UU9_B	5YOY_D
4UU9_B	6IVZ_L
4UU9_B	4M8Q_B
4UU9_B	2IJ0_C
1I2M_B	1I2M_B
6FC3_A	6FC3_A
2PJY_B	2PJY_B
1XG2_A	1XG2_A
1SEI_A	1SEI_A
3BJD_B	3BJD_B
4NIQ_A	4NIQ_A
6D7Y_B	6D7Y_B
4QLP_A	4QLP_A
5OTJ_C	5OTJ_C
5OTJ_C	3TZ1_A
6DNQ_D	6DNQ_D
4NG2_A	4NG2_A
6F45_D	6F45_D
3LEV_A	3LEV_A
3NQI_A	3NQI_A
2VLF_B	2VLF_B
1HEZ_E	1HEZ_E
2I9X_A	2I9X_A
4LU5_A	4LU5_A
6J4S_A	6J4S_A
5IMY_C	5IMY_C
5X1E_B	5X1E_B
3H8D_D	3H8D_D
3H8D_D	3H8D_C
5L21_A	5L21_A
3C9A_C	3C9A_C
6F3Z_B	6F3Z_B
6FY5_A	6FY5_A
7BQY_A	7BQY_A
7BQY_A	7BQY_C
3E0Z_A	3E0Z_A
